Description,Category
Cash,Cash and cash equivalents
Bank,Cash and cash equivalents
Petty Cash,Cash and cash equivalents
Advance to Supplier,Accounts receivable and prepayments
Accounts Receivable,Accounts receivable and prepayments
Inventory,Inventory
Prepaid,Other short-term assets
Land,"Property, Plant & Equipment (PPE)"
Equipment,"Property, Plant & Equipment (PPE)"
Furniture,"Property, Plant & Equipment (PPE)"
Investments,Long-term investments
Name,Intangible assets
Bank Charges,Deferred charges and other noncurrent assets
Trade Payable,Accounts payable
Short-Term Loan,Short-term debt
Current Portion,Current portion of long-term debt
Long-Term Loan,Long-term debt (loan)
Capital,Owner's Capital
Retained Earnings,Retained Earnings
Opening Balance PPE,Opening balance PPE
Opening Balance Inventory,Opening balance inventory
Net Sales,Net sales
Cost of Goods Sold,Cost of goods sold
Net Income,Net income
Opening Accounts Receivable,Opening accounts receivable
